customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,IsMonthToMonth,ContractStability,IsElectronicCheck,PaymentStability,FinancialRiskScore,TenureRisk,IsNewCustomer,IsVeryNewCustomer,TenureSegment,LifecycleValue,RevenueAcceleration,HasTechSupport,HasOnlineSecurity,HasBackup,ProtectionScore,FullyProtected,NoProtection,ServiceVulnerability,ServiceCount,RevenuePerService,PriceDeviation,IsPriceSensitive,EstimatedMargin,CumulativeProfit,DigitalAdoption,IsStreamingUser,IsPureStreaming,ContractValueAlignment,RiskyNewCustomer,VulnerableHighValue,UnstableCustomer,EarlyServiceOverload,MonthlyCharges_ZScore,TotalCharges_ZScore,ChargesPercentile,TenurePercentile,ExpectedTotalCharges,ChargesConsistency,ChurnRiskScore,RiskCategory,DataSegment,SegmentName
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,1,0.0,1,0.0,1.0,0.12451447144412296,0,0,Established,2637.5,-2.190384615384602,1,1,0,3,0,0,0.25,7,13.1875,1.4000000000000057,0,50.5,1262.5,0.5,1,0,0,0,0,1,0,1.3539759452164248,0.1784165658888543,0.9339769984381655,0.4614510861848644,2637.5,0.9815993935948455,0.5811286178610306,High Risk,0,Digital Natives
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,1.0,0,1.0,0.0,0.003182780796509667,0,0,Loyal,7814.25,-0.4621428571428652,1,1,1,4,1,0,0.0,8,12.583333333333334,3.3499999999999943,0,53.25,3674.25,0.75,1,0,1,0,0,0,0,1.611554480242174,2.478128710529918,0.9848076103932983,0.9008945051824506,7814.25,0.9896484437478008,0.025795695199127416,Low Risk,5,Flight Risks
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,0.5,0,0.33,0.08039999999999999,0.013123728736940968,0,0,Loyal,1073.8,-1.3490566037735832,0,0,0,0,0,1,0.0,1,10.325,0.4499999999999993,0,-4.350000000000001,-226.20000000000007,0.0,0,0,0,0,0,0,0,-1.4660935640654862,-0.5558083996047153,0.1529177907141843,0.7165270481328979,1073.8,0.952688872348344,0.13142093218423523,Low Risk,2,Premium Loyalists
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,1.0,0,0.67,0.039599999999999996,0.0026941657785782246,0,0,Loyal,7575.7,-4.168750000000003,0,1,0,2,0,0,0.5,6,15.242857142857144,7.950000000000003,0,56.7,4025.7000000000003,0.5,1,0,1,0,0,0,0,1.393859073220412,2.251693748830891,0.9468976288513418,0.9366037200056794,7575.7,0.9744677762086397,0.16453354144464455,Low Risk,5,Flight Risks
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,0.0,0,1.0,0.427,0.4345982085070782,1,0,First Year,552.0,-7.1681818181818215,1,0,0,2,0,0,0.5,4,11.040000000000001,-26.75,1,15.200000000000003,152.00000000000003,0.25,0,0,0,1,0,0,0,-0.31779183695069496,-0.774164281952812,0.37626011642765866,0.2715462161010933,552.0,0.9572332730560579,0.4330995521267696,Moderate Risk,3,Basic Users
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,1,0.0,1,0.0,1.0,0.17377394345044514,0,0,Growing,1891.05,-5.372727272727261,0,0,1,2,0,0,0.5,5,15.008333333333333,-0.5,0,45.05,946.05,0.5,1,0,0,0,0,1,0,0.8404806721650927,-0.18498748699192968,0.7539400823512707,0.4131762033224478,1891.05,0.9851219576649667,0.6434434858626112,High Risk,0,Digital Natives
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,0.0,1,0.0,1.0,0.9200444146293233,1,1,Onboarding,39.65,-19.825,0,0,0,1,0,0,0.75,3,9.9125,-34.92499999999999,1,4.649999999999999,4.649999999999999,0.25,1,1,1,1,0,1,0,-0.8346107040023594,-0.9899154337997889,0.25969047280988217,0.04515121397131904,39.65,1.0,0.9050111036573308,Critical Risk,4,Growth Potentials
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0.5,0,0.67,0.039599999999999996,0.36787944117144233,1,0,First Year,237.60000000000002,-4.242307692307692,0,0,0,0,0,1,0.0,1,9.9,-0.3999999999999986,0,-5.199999999999999,-62.39999999999999,0.25,0,0,0,0,0,0,0,-1.4943441130683104,-0.9181308271079157,0.06552605423825074,0.30214397273888965,237.60000000000002,0.8518440905280804,0.18082986029286058,Low Risk,1,Value Seekers
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,0.0,0,0.33,0.5074,0.9200444146293233,1,1,Onboarding,20.15,-10.075,0,0,0,0,0,1,0.0,1,10.075,-0.05000000000000071,0,-4.850000000000001,-4.850000000000001,0.0,0,0,1,1,0,0,0,-1.4827115340671475,-0.9985242888458623,0.10996734346159306,0.04515121397131904,20.15,1.0,0.5076011036573308,High Risk,1,Value Seekers
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,1.0,0,1.0,0.0,0.00795994384870645,0,0,Loyal,3474.2,-0.4915254237288167,1,0,1,2,0,0,0.5,4,11.98,-22.050000000000004,1,19.9,1154.1999999999998,0.75,0,0,0,0,0,0,0,-0.1615829189350795,0.5400105518112329,0.4118983387760897,0.7762317194377396,3474.2,0.9911084254143646,0.12698998596217662,Low Risk,5,Flight Risks
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,1,0.0,0,1.0,0.427,0.01685120125994751,0,0,Loyal,2920.4,-0.1939999999999955,1,1,1,3,0,0,0.25,5,9.933333333333334,-30.949999999999996,1,14.600000000000001,715.4000000000001,0.75,0,0,0,0,0,0,0,-0.17155370093607614,0.30390718367584674,0.40692886554025276,0.6868521936674713,2920.4,0.9829191483535291,0.2286628003149869,Low Risk,3,Basic Users
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,1,0.0,0,0.67,0.4666,0.0820849986238988,0,0,Established,1659.0,-5.925806451612907,0,1,1,2,0,0,0.5,4,11.059999999999999,-26.650000000000006,1,15.299999999999997,458.9999999999999,1.0,0,0,0,0,0,0,0,-0.31446824295036285,-0.3316912065719389,0.37824790572199346,0.5119267357660088,1659.0,0.9226506024096385,0.2838312496559747,Low Risk,3,Basic Users
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,0.0,1,0.0,1.0,0.019907342077733686,0,0,Established,4669.45,-0.40937499999999716,0,0,1,1,0,0,0.75,5,16.558333333333334,8.799999999999997,0,54.349999999999994,2554.45,0.5,1,0,0,0,0,1,0,1.1495749141959914,1.0892334297634156,0.861067726820957,0.6682521652704814,4669.45,0.9829352631973365,0.6549768355194334,High Risk,0,Digital Natives
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,0.0,1,0.0,1.0,0.9200444146293233,1,1,Onboarding,30.2,-15.1,0,0,1,1,0,0,0.75,2,10.066666666666666,-39.099999999999994,1,0.1999999999999993,0.1999999999999993,0.25,0,0,1,1,0,1,0,-1.1486903370337564,-0.9940874173990399,0.23583700127786456,0.04515121397131904,30.2,1.0,0.9050111036573308,Critical Risk,1,Value Seekers
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,1.0,0,1.0,0.0,0.0024787521766663585,0,0,Loyal,6498.0,-2.9972602739726,1,1,1,4,1,0,0.0,8,10.027777777777779,-19.650000000000006,1,30.25,2178.0,1.0,1,0,1,0,0,0,0,0.8471278601657574,1.804563062130219,0.757986653414738,0.9743717165980406,6498.0,0.9802200338513617,0.0006196880441665896,Low Risk,5,Flight Risks
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,0.0,0,0.33,0.5074,0.2425210746356487,0,0,Growing,1099.9,-3.9722222222222285,0,0,0,0,0,1,1.0,4,12.940000000000001,-17.25,1,24.700000000000003,419.90000000000003,0.25,1,0,0,0,0,0,0,-0.0020504069191315333,-0.5248385954261489,0.44214113303989777,0.3683089592503195,1099.9,0.9938232355345624,0.5132202686589122,High Risk,4,Growth Potentials
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,1.0,0,1.0,0.0,0.0026941657785782246,0,0,Loyal,6840.849999999999,-2.3645833333333286,1,1,1,4,1,0,0.0,6,13.764285714285714,-2.4000000000000057,0,46.349999999999994,3290.8499999999995,1.0,0,0,1,0,0,0,0,1.0498670941860242,1.9800512611463297,0.8350134885702115,0.9366037200056794,6840.849999999999,0.989198827802422,0.0006735414446445561,Low Risk,5,Flight Risks
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,1,0.0,0,1.0,0.427,0.8464817248906141,1,1,Onboarding,191.0,-34.949999999999996,0,0,0,1,0,0,0.75,5,15.916666666666666,4.950000000000003,0,50.5,101.0,0.5,1,0,0,1,0,0,0,1.0216165451832002,-0.9272253098745368,0.8245775947749538,0.10556581002413744,191.0,0.9513020833333333,0.5610704312226535,High Risk,3,Basic Users
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,0.5,0,0.33,0.08039999999999999,0.10539922456186433,0,0,Established,1786.0500000000002,0.794642857142847,1,1,1,4,1,0,0.0,6,9.450000000000001,-32.599999999999994,1,16.150000000000006,436.0500000000002,0.5,0,0,0,0,0,0,0,0.046141706085686136,-0.17988839592617856,0.45555871077665766,0.48338776089734486,1786.0500000000002,0.9505330013150164,0.10448980614046607,Low Risk,0,Digital Natives
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,1,0.0,0,0.67,0.4666,0.9200444146293233,1,1,Onboarding,20.2,-10.1,0,0,0,0,0,1,0.0,1,10.1,0.0,0,-4.800000000000001,-4.800000000000001,0.25,0,0,1,1,0,0,0,-1.481049737066981,-0.9985022148585647,0.11529177907141842,0.04515121397131904,20.2,1.0,0.4683211036573308,Moderate Risk,1,Value Seekers
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,1,0.0,0,0.67,0.4666,0.9200444146293233,1,1,Onboarding,45.25,-22.625,0,0,0,0,0,1,1.0,2,15.083333333333334,-24.049999999999997,1,15.25,15.25,0.25,0,0,0,1,0,0,0,-0.6484894399837535,-0.9874431472224551,0.2918500638932273,0.04515121397131904,45.25,1.0,0.6683211036573309,High Risk,1,Value Seekers
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,1.0,0,0.67,0.039599999999999996,0.0024787521766663585,0,0,Loyal,7192.8,-0.5616438356164508,1,1,1,3,0,0,0.25,6,14.271428571428572,1.1500000000000057,0,49.900000000000006,3592.8,0.75,1,0,1,0,0,0,0,1.1678546811978192,2.1940585679967946,0.8700127786454636,0.9743717165980406,7192.8,0.9918123940059497,0.08947968804416659,Low Risk,5,Flight Risks
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,0.0,1,0.0,1.0,0.6592406302004438,1,0,First Year,348.5,-16.88333333333334,0,0,0,0,0,1,1.0,2,23.233333333333334,0.4000000000000057,0,39.7,198.5,0.25,0,0,0,1,0,1,0,0.16412929309748078,-0.8675151742344638,0.4831037909981542,0.18529035922192247,348.5,0.9095851216022889,0.8898101575501108,Critical Risk,4,Growth Potentials
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,1,0.0,0,1.0,0.427,0.02163737071949309,0,0,Established,3440.7999999999997,0.6957446808510639,0,0,0,1,0,0,0.75,3,18.7,0.22500000000000853,0,39.8,1830.8,0.5,0,0,0,0,0,0,0,0.33363258711442517,0.5590824768363802,0.5511855743291211,0.658171233849212,3440.7999999999997,0.9687663431925154,0.3548593426798733,Moderate Risk,3,Basic Users
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,0.0,1,0.0,1.0,0.05881647164242988,0,0,Established,3615.8999999999996,-4.942857142857136,0,0,1,2,0,0,0.5,6,15.192857142857141,7.599999999999994,0,56.349999999999994,1915.8999999999999,0.5,1,0,0,0,0,1,0,1.3822264942192488,0.559501882595035,0.9436319750106489,0.5497657248331677,3615.8999999999996,0.9815726174348199,0.6147041179106075,High Risk,0,Digital Natives
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,0.0,0,0.67,0.4666,0.39984965434484737,1,0,First Year,1076.35,-5.73333333333332,0,0,0,1,0,0,0.75,5,16.308333333333334,7.299999999999997,0,52.849999999999994,581.3499999999999,0.5,1,0,0,1,0,0,0,1.099721004191008,-0.5194083945509333,0.8444554877183018,0.28680959818259266,1076.35,0.9730356894231214,0.46327241358621185,Moderate Risk,3,Basic Users
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,0.5,0,0.33,0.08039999999999999,0.4345982085070782,1,0,First Year,495.5,-6.304545454545455,0,0,1,1,0,0,0.75,3,12.3875,-25.02499999999999,1,14.549999999999997,145.49999999999997,0.25,0,0,0,0,0,0,0,-0.5055748979694671,-0.79740819057721,0.3188981967911401,0.2715462161010933,495.5,0.9601208459214501,0.3617895521267696,Moderate Risk,4,Growth Potentials
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,1.0,0,1.0,0.0,0.0029282996948181888,0,0,Loyal,4844.0,-0.5753521126760575,0,1,1,2,0,0,0.5,5,11.533333333333333,-21.349999999999994,1,24.200000000000003,1694.0000000000002,1.0,1,0,0,0,0,0,0,0.14751132309581955,1.1436237344647615,0.4733778219508732,0.9160868947891524,4844.0,0.9941486068111455,0.10073207492370455,Low Risk,5,Flight Risks
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,0.5,0,0.33,0.08039999999999999,0.2425210746356487,0,0,Growing,352.75,2.4861111111111107,0,0,0,0,0,1,0.0,1,10.375,0.5500000000000007,0,-4.25,-72.25,0.0,0,0,0,0,0,0,0,-1.462769970065154,-0.82277120198218,0.15760329405083062,0.3683089592503195,352.75,0.8148409893992933,0.18877026865891217,Low Risk,1,Value Seekers
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,1.0,0,1.0,0.0,0.005247518399181385,0,0,Loyal,5030.549999999999,-3.889843749999997,1,1,1,4,1,0,0.0,7,9.98125,-24.25,1,24.849999999999994,1565.5499999999997,1.0,1,0,1,0,0,0,0,0.5014740841312035,1.1388116052338793,0.6167116285673718,0.8261394292205027,5030.549999999999,0.9663920660631417,0.0013118795997953462,Low Risk,5,Flight Risks
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,1,0.0,1,0.0,1.0,0.3384654251067422,0,0,Growing,990.6,-6.096428571428575,1,1,1,3,0,0,0.25,6,10.885714285714286,-22.549999999999997,1,26.200000000000003,340.6,0.75,1,0,0,0,0,1,0,0.3801629031190768,-0.5741298090617433,0.579085616924606,0.3181882720431634,990.6,0.9907724889068172,0.6096163562766855,High Risk,0,Digital Natives
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,1,0.0,1,0.0,1.0,0.01685120125994751,0,0,Loyal,4140.5,-6.366,0,0,0,0,0,1,1.0,3,21.125,9.925000000000011,0,49.5,2425.5,0.25,1,0,0,0,0,1,0,0.6560212051466532,0.7173088177857488,0.6776941644185717,0.6868521936674713,4140.5,0.9435470240251116,0.7292128003149868,Critical Risk,4,Growth Potentials
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,1,0.0,0,0.33,0.5074,0.8464817248906141,1,1,Onboarding,98.5,-16.916666666666664,0,0,1,1,0,0,0.75,3,12.3125,-25.32499999999999,1,14.25,28.5,0.25,0,0,0,1,0,0,0,-0.5155456799704636,-0.9645965703694143,0.31513559562686355,0.10556581002413744,98.5,0.9849246231155779,0.6142104312226535,High Risk,4,Growth Potentials
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,0.0,1,0.0,1.0,0.8464817248906141,1,1,Onboarding,161.3,-32.6,0,0,0,0,0,1,1.0,3,20.1625,6.075000000000017,0,45.650000000000006,91.30000000000001,0.25,1,0,0,1,0,1,0,0.5280628361338618,-0.9437808003477547,0.6372284537838989,0.10556581002413744,161.3,0.8943314849044979,0.9366204312226535,Critical Risk,4,Growth Potentials
